,latency,x_pos,z_pos,x_conv,z_conv,nodeNr,in_nodeRadius,neighbours,num_neighbours,closest_to_nodeCentroid,node_1st_half,time_diff,time_diff_normalized,distance_to_next,distance_difference
98,16.825,-56.1,67.53,96.6925,86.91749999999999,,0,,,0,0,31.345000000000002,0.7835074738789182,6.4985268083474175,0.13932874793092953
99,16.937,-56.65,67.58,96.555,86.92999999999999,,0,,,0,0,31.233,0.7807078938159276,6.636593821062247,0.13806701271482957
100,17.048,-57.2,67.61,96.4175,86.9375,,0,,,0,0,31.122000000000003,0.7779333100034995,6.774298214601455,0.13770439353920771
101,17.159,-57.75,67.62,96.28,86.94,,0,,,0,0,31.011000000000003,0.7751587261910714,6.9118209399962085,0.13752272539475374
102,17.27,-58.31,67.61,96.14,86.9375,,0,,,0,0,30.900000000000002,0.7723841423786433,7.051843259645613,0.14002231964940481
103,17.38,-58.86,67.61,96.0025,86.9375,,0,,,0,0,30.790000000000003,0.7696345548167776,7.189343259645616,0.13750000000000284
104,17.491,-59.3,67.78,95.8925,86.97999999999999,,0,,,0,0,30.679000000000002,0.7668599710043494,7.307268023796319,0.11792476415070308
105,17.602,-59.6,68.03,95.8175,87.04249999999999,,0,,,0,0,30.568,0.7640853871919212,7.4048961447451545,0.09762812094883522
106,17.703,-59.88,68.27,95.7475,87.10249999999999,,0,,,0,0,30.467000000000002,0.7615607658851172,7.49709158931808,0.09219544457292539
107,17.814,-60.25,68.62,95.655,87.19,,0,,,0,0,30.356,0.7587861820726891,7.624419905100553,0.1273283157824734
108,17.925,-60.64,69.01,95.5575,87.2875,,0,,,0,0,30.245,0.756011598260261,7.762305727431925,0.1378858223313717
109,18.036,-61.02,69.41,95.4625,87.38749999999999,,0,,,0,0,30.134,0.7532370144478329,7.9002368696732574,0.13793114224133252
110,18.148,-61.42,69.81,95.3625,87.4875,,0,,,0,0,30.022000000000002,0.7504374343848423,8.041658225910579,0.14142135623732166
111,18.259,-61.82,70.2,95.2625,87.585,,0,,,0,0,29.911,0.7476628505724142,8.181323003145208,0.13966477723462845
112,18.369,-62.21,70.59,95.165,87.6825,,0,,,0,0,29.801000000000002,0.7449132630105485,8.31920882547659,0.13788582233138236
113,18.48,-62.6,70.98,95.0675,87.78,,0,,,0,0,29.69,0.7421386791981203,8.457094647807972,0.13788582233138236
114,18.592,-62.97,71.4,94.975,87.88499999999999,,0,,,0,0,29.578000000000003,0.7393390991351299,8.59702766749953,0.1399330196915578
115,18.703,-63.33,71.82,94.885,87.99,,0,,,0,0,29.467000000000002,0.7365645153227016,8.73532083435892,0.13829316685938942
116,18.811,-63.68,72.27,94.7975,88.10249999999999,,0,,,0,0,29.359,0.7338649202619607,8.877842762496313,0.14252192813739306
117,18.915,-63.97,72.68,94.725,88.205,,0,,,0,0,29.255000000000003,0.7312653102034695,9.003391557791218,0.1255487952949057
118,19.026,-64.27,73.15,94.65,88.32249999999999,,0,,,0,0,29.144000000000002,0.7284907263910414,9.142787576385713,0.13939601859449446
119,19.137,-64.54,73.63,94.5825,88.4425,,0,,,0,0,29.033,0.7257161425786133,9.280469274515864,0.13768169813015163
120,19.248,-64.78,74.12,94.52250000000001,88.565,,0,,,0,0,28.922,0.722941558766185,9.416874003172898,0.136404728657034
121,19.57,-64.88,74.32,94.4975,88.615,,0,,,0,0,28.6,0.7148927660850872,9.472775702610393,0.05590169943749501
122,19.681,-64.75,74.06,94.53,88.55,,0,,,0,0,28.489,0.7121181822726591,9.545447911879133,0.07267220926873996
123,19.793,-64.73,74.21,94.535,88.58749999999999,,0,,,0,0,28.377000000000002,0.7093186022096686,9.58327977675518,0.03783186487604695
124,19.904,-64.75,74.76,94.53,88.725,,0,,,0,0,28.266000000000002,0.7065440183972405,9.720870655813354,0.13759087905817324
125,20.004,-64.74,75.27,94.5325,88.85249999999999,,0,,,0,0,28.166,0.7040443933409989,9.84839516326192,0.12752450744856603
126,20.104,-64.72,75.76,94.5375,88.975,,0,,,0,0,28.066000000000003,0.7015447682847573,9.970997161614314,0.12260199835239405
127,20.214,-64.71,76.32,94.54,89.115,,0,,,0,0,27.956000000000003,0.6987951807228916,10.11101948126372,0.1400223196494057
128,20.325,-64.71,76.87,94.54,89.2525,,0,,,0,0,27.845000000000002,0.6960205969104635,10.248519481263722,0.13750000000000284
129,20.439,-64.73,77.43,94.535,89.3925,,0,,,0,0,27.731,0.693171024346348,10.388608738524942,0.14008925726122
130,20.548,-64.75,77.98,94.53,89.53,,0,,,0,0,27.622000000000003,0.6904464330350448,10.526199617583115,0.13759087905817324
131,20.659,-64.8,78.54,94.5175,89.67,,0,,,0,0,27.511000000000003,0.6876718492226167,10.666756545551822,0.14055692796870645
132,20.771,-64.88,79.09,94.4975,89.8075,,0,,,0,0,27.399,0.6848722691596261,10.805703477867727,0.13894693231590516
133,20.88,-65.0,79.62,94.4675,89.94,,0,,,0,0,27.290000000000003,0.6821476778483229,10.941557259559655,0.13585378169192808
134,20.991,-65.16,80.15,94.42750000000001,90.07249999999999,,0,,,0,0,27.179000000000002,0.6793730940358946,11.07996336491631,0.13840610535665476
135,21.102,-65.36,80.67,94.3775,90.2025,,0,,,0,0,27.068,0.6765985102234665,11.219247247688164,0.13928388277185455
136,21.214,-65.6,81.17,94.3175,90.3275,,0,,,0,0,26.956000000000003,0.673798930160476,11.357901493926786,0.13865424623862133
137,21.324,-65.87,81.65,94.25,90.44749999999999,,0,,,0,0,26.846,0.6710493425986102,11.49558319205692,0.13768169813013387
138,21.435,-66.16,82.12,94.17750000000001,90.565,,0,,,0,0,26.735000000000003,0.6682747587861821,11.633650204771762,0.138067012714842
139,21.546,-66.51,82.42,94.09,90.64,,0,,,0,0,26.624000000000002,0.665500174973754,11.74889451048793,0.11524430571616762
140,22.102,-67.1,82.41,93.9425,90.63749999999999,,0,,,0,0,26.068,0.6516022596610509,11.896415695407256,0.1475211849193272
141,22.213,-67.65,82.35,93.805,90.6225,,0,,,0,0,25.957,0.6488276758486228,12.034731457343474,0.13831576193621764
142,22.324,-68.2,82.39,93.6675,90.6325,,0,,,0,0,25.846,0.6460530920361945,12.172594614133098,0.13786315678962424
143,22.435,-68.76,82.45,93.5275,90.6475,,0,,,0,0,25.735000000000003,0.6432785082237665,12.313395892536386,0.1408012784032877
144,22.546,-69.31,82.51,93.39,90.6625,,0,,,0,0,25.624000000000002,0.6405039244113383,12.45171165447262,0.13831576193623363
145,22.657,-69.86,82.57,93.2525,90.6775,,0,,,0,0,25.513,0.6377293405989102,12.590027416408853,0.13831576193623363
146,22.768,-70.41,82.63,93.11500000000001,90.6925,,0,,,0,0,25.402,0.634954756786482,12.728343178345073,0.13831576193621942
147,22.879,-70.96,82.6,92.9775,90.685,,0,,,0,0,25.291,0.6321801729740539,12.866047571884279,0.13770439353920594
148,22.99,-71.49,82.43,92.845,90.6425,,0,,,0,0,25.180000000000003,0.6294055891616258,13.005196772385045,0.13914920050076596
149,23.102,-72.0,82.21,92.7175,90.58749999999999,,0,,,0,0,25.068,0.6266060090986353,13.144053713155033,0.13885694076998867
150,23.213,-72.5,81.97,92.5925,90.5275,,0,,,0,0,24.957,0.623831425286207,13.28270795939365,0.138654246238616
151,23.323,-73.03,81.8,92.46000000000001,90.485,,0,,,0,0,24.847,0.6210818377243413,13.421857159894401,0.13914920050075175
152,23.435,-73.57,81.69,92.325,90.4575,,0,,,0,0,24.735000000000003,0.6182822576613509,13.559629617228955,0.13777245733455423
153,23.546,-74.13,81.61,92.185,90.4375,,0,,,0,0,24.624000000000002,0.6155076738489227,13.701050973466264,0.14142135623730923
154,23.657,-74.68,81.53,92.0475,90.41749999999999,,0,,,0,0,24.513,0.6127330900364946,13.839997905782171,0.13894693231590693
155,23.768,-75.23,81.45,91.91,90.3975,,0,,,0,0,24.402,0.6099585062240664,13.978944838098077,0.13894693231590516
156,23.879,-75.78,81.35,91.77250000000001,90.3725,,0,,,0,0,24.291,0.6071839224116382,14.1186990866918,0.13975424859372332
157,23.991,-76.32,81.25,91.6375,90.3475,,0,,,0,0,24.179000000000002,0.6043843423486478,14.255994388869265,0.13729530217746522
158,24.101,-76.86,81.13,91.5025,90.3175,,0,,,0,0,24.069000000000003,0.6016347547867821,14.394287555728663,0.1382931668593983
159,24.212,-77.39,81.0,91.37,90.285,,0,,,0,0,23.958000000000002,0.5988601709743538,14.53071519222508,0.13642763649641587
160,24.323,-77.93,80.87,91.235,90.2525,,0,,,0,0,23.847,0.5960855871619257,14.669572132995071,0.13885694076999222
161,24.434,-78.47,80.75,91.1,90.2225,,0,,,0,0,23.736,0.5933110033494976,14.80786529985447,0.1382931668593983
162,24.545,-79.02,80.65,90.9625,90.19749999999999,,0,,,0,0,23.625,0.5905364195370695,14.947619548448197,0.13975424859372687
163,24.656,-79.57,80.6,90.825,90.185,,0,,,0,0,23.514000000000003,0.5877618357246414,15.085686561163039,0.138067012714842
164,24.767,-80.13,80.56,90.685,90.175,,0,,,0,0,23.403000000000002,0.5849872519122132,15.226043249639222,0.14035668847618332
165,26.534,-80.71,80.77,90.54,90.22749999999999,,0,,,0,0,21.636000000000003,0.5408188771684248,15.380254954772127,0.15421170513290505
166,26.646,-80.92,81.29,90.4875,90.3575,,0,,,0,0,21.524,0.5380192971054342,15.52045570370024,0.14020074892811252
167,26.755,-81.12,81.81,90.4375,90.4875,,0,,,0,0,21.415000000000003,0.535294705794131,15.659739586472076,0.1392838827718368
168,26.867,-81.21,82.0,90.415,90.535,,0,,,0,0,21.303,0.5324951257311403,15.712299076576144,0.05255949010406802
